device_id,firmware_version,timestamp,error_code,severity,model,region
DEV_0184,10.0.2,2024-03-22 00:00:00,ERR_BOOT_109,medium,Roku TV,LATAM
DEV_0078,10.0.2,2024-03-11 00:00:00,ERR_UPDATE_103,critical,Roku TV,LATAM
DEV_0177,10.0.2,2024-04-03 00:00:00,ERR_UPDATE_106,low,Roku Premiere,NA
DEV_0072,10.0.2,2024-03-21 00:00:00,ERR_NETWORK_106,low,Roku TV,NA
DEV_0317,10.0.2,2024-03-30 00:00:00,ERR_BOOT_102,medium,Roku Express,EU
DEV_0463,10.0.2,2024-03-07 00:00:00,ERR_CRASH_106,high,Roku Ultra,LATAM
DEV_0347,10.0.2,2024-02-29 00:00:00,ERR_BOOT_103,medium,Roku Express,NA
DEV_0248,10.0.2,2024-03-07 00:00:00,ERR_STREAM_104,medium,Roku Express,APAC
DEV_0358,10.0.2,2024-03-03 00:00:00,ERR_CRASH_107,low,Roku Premiere,NA
DEV_0048,10.0.2,2024-03-03 00:00:00,ERR_BOOT_105,low,Roku Ultra,LATAM
DEV_0030,10.0.2,2024-02-28 00:00:00,ERR_UPDATE_107,low,Roku TV,LATAM
DEV_0084,10.0.2,2024-02-24 00:00:00,ERR_UPDATE_107,medium,Roku Streaming Stick+,LATAM
DEV_0100,10.0.2,2024-02-29 00:00:00,ERR_BOOT_105,medium,Roku Streaming Stick+,LATAM
DEV_0178,10.0.2,2024-03-07 00:00:00,ERR_CRASH_108,high,Roku Ultra,EU
DEV_0360,10.0.2,2024-03-04 00:00:00,ERR_STREAM_102,medium,Roku Ultra,APAC
DEV_0255,10.0.2,2024-02-24 00:00:00,ERR_CRASH_104,high,Roku Ultra,EU
DEV_0076,10.0.2,2024-04-04 00:00:00,ERR_CRASH_108,medium,Roku Streaming Stick+,EU
DEV_0228,10.0.2,2024-03-30 00:00:00,ERR_UPDATE_108,low,Roku Ultra,LATAM
DEV_0500,10.0.2,2024-04-01 00:00:00,ERR_BOOT_103,low,Roku TV,EU
DEV_0042,10.0.2,2024-03-30 00:00:00,ERR_UPDATE_107,high,Roku Ultra,LATAM
DEV_0300,10.0.2,2024-04-04 00:00:00,ERR_NETWORK_107,critical,Roku Ultra,EU
DEV_0196,10.0.2,2024-02-28 00:00:00,ERR_CRASH_100,low,Roku Ultra,APAC
DEV_0207,10.0.2,2024-04-03 00:00:00,ERR_CRASH_101,low,Roku TV,LATAM
DEV_0403,10.0.2,2024-03-19 00:00:00,ERR_STREAM_104,high,Roku TV,APAC
DEV_0429,10.0.2,2024-03-17 00:00:00,ERR_UPDATE_108,low,Roku Ultra,LATAM
DEV_0021,10.0.2,2024-03-17 00:00:00,ERR_UPDATE_108,high,Roku Express,EU
DEV_0268,10.0.2,2024-03-07 00:00:00,ERR_UPDATE_103,low,Roku Ultra,EU
DEV_0300,10.0.2,2024-04-01 00:00:00,ERR_UPDATE_105,high,Roku TV,NA
DEV_0110,10.0.2,2024-03-01 00:00:00,ERR_CRASH_108,low,Roku Ultra,EU
DEV_0345,10.0.2,2024-02-28 00:00:00,ERR_UPDATE_102,low,Roku Express,APAC
DEV_0439,10.0.2,2024-03-22 00:00:00,ERR_CRASH_109,medium,Roku Ultra,NA
DEV_0276,10.0.2,2024-02-25 00:00:00,ERR_NETWORK_104,high,Roku Premiere,NA
DEV_0071,10.0.2,2024-02-18 00:00:00,ERR_STREAM_103,high,Roku Ultra,APAC
DEV_0224,10.0.2,2024-04-06 00:00:00,ERR_CRASH_108,medium,Roku Streaming Stick+,APAC
DEV_0217,10.0.2,2024-02-16 00:00:00,ERR_STREAM_100,low,Roku TV,LATAM
DEV_0349,10.0.2,2024-03-20 00:00:00,ERR_CRASH_105,medium,Roku Streaming Stick+,EU
DEV_0422,10.0.2,2024-03-15 00:00:00,ERR_CRASH_100,high,Roku Streaming Stick+,NA
DEV_0044,10.0.2,2024-04-06 00:00:00,ERR_NETWORK_100,medium,Roku Streaming Stick+,LATAM
DEV_0001,10.0.2,2024-02-16 00:00:00,ERR_BOOT_108,low,Roku Premiere,APAC
DEV_0149,10.0.2,2024-03-21 00:00:00,ERR_UPDATE_103,high,Roku Ultra,EU
DEV_0346,10.0.2,2024-02-28 00:00:00,ERR_NETWORK_106,medium,Roku Premiere,APAC
DEV_0339,10.0.2,2024-03-09 00:00:00,ERR_BOOT_102,low,Roku Streaming Stick+,LATAM
DEV_0070,10.0.2,2024-03-31 00:00:00,ERR_UPDATE_107,high,Roku Streaming Stick+,EU
DEV_0261,10.0.2,2024-02-19 00:00:00,ERR_CRASH_108,high,Roku Premiere,NA
DEV_0009,10.0.2,2024-04-01 00:00:00,ERR_CRASH_105,low,Roku Premiere,LATAM
DEV_0165,10.0.2,2024-03-19 00:00:00,ERR_BOOT_109,medium,Roku Ultra,EU
DEV_0092,10.0.2,2024-03-19 00:00:00,ERR_UPDATE_104,low,Roku Ultra,LATAM
DEV_0032,10.0.2,2024-02-25 00:00:00,ERR_CRASH_103,low,Roku Streaming Stick+,APAC
DEV_0100,10.0.2,2024-03-09 00:00:00,ERR_UPDATE_109,high,Roku Express,LATAM
DEV_0357,10.0.2,2024-03-04 00:00:00,ERR_CRASH_107,low,Roku TV,NA
DEV_0082,10.1.0,2024-04-03 00:00:00,ERR_BOOT_101,medium,Roku Ultra,LATAM
DEV_0227,10.1.0,2024-03-13 00:00:00,ERR_BOOT_105,high,Roku Ultra,NA
DEV_0444,10.1.0,2024-03-13 00:00:00,ERR_BOOT_104,low,Roku Premiere,NA
DEV_0283,10.1.0,2024-04-05 00:00:00,ERR_CRASH_106,low,Roku TV,APAC
DEV_0314,10.1.0,2024-03-28 00:00:00,ERR_UPDATE_104,high,Roku Premiere,NA
DEV_0220,10.1.0,2024-03-22 00:00:00,ERR_NETWORK_107,low,Roku Ultra,APAC
DEV_0456,10.1.0,2024-04-08 00:00:00,ERR_BOOT_109,low,Roku Express,LATAM
DEV_0298,10.1.0,2024-04-14 00:00:00,ERR_CRASH_107,high,Roku Ultra,EU
DEV_0283,10.1.0,2024-03-29 00:00:00,ERR_BOOT_105,medium,Roku Streaming Stick+,NA
DEV_0300,10.1.0,2024-03-15 00:00:00,ERR_STREAM_105,critical,Roku TV,APAC
DEV_0488,10.1.0,2024-04-24 00:00:00,ERR_BOOT_109,critical,Roku Premiere,LATAM
DEV_0320,10.1.0,2024-04-18 00:00:00,ERR_BOOT_105,medium,Roku TV,NA
DEV_0331,10.1.0,2024-04-16 00:00:00,ERR_BOOT_104,low,Roku TV,LATAM
DEV_0452,10.1.0,2024-04-08 00:00:00,ERR_NETWORK_104,low,Roku TV,NA
DEV_0333,10.1.0,2024-04-17 00:00:00,ERR_BOOT_105,high,Roku TV,APAC
DEV_0280,10.1.0,2024-04-19 00:00:00,ERR_BOOT_108,low,Roku Express,NA
DEV_0273,10.1.0,2024-03-15 00:00:00,ERR_UPDATE_104,low,Roku Streaming Stick+,EU
DEV_0293,10.1.0,2024-03-31 00:00:00,ERR_UPDATE_102,high,Roku Express,LATAM
DEV_0444,10.1.0,2024-03-10 00:00:00,ERR_NETWORK_103,medium,Roku TV,APAC
DEV_0328,10.1.0,2024-03-21 00:00:00,ERR_NETWORK_109,medium,Roku Premiere,NA
DEV_0107,10.1.0,2024-03-12 00:00:00,ERR_UPDATE_108,low,Roku Express,NA
DEV_0110,10.1.0,2024-03-22 00:00:00,ERR_BOOT_103,low,Roku Ultra,LATAM
DEV_0340,10.1.0,2024-04-12 00:00:00,ERR_STREAM_104,low,Roku Ultra,APAC
DEV_0007,10.1.0,2024-04-26 00:00:00,ERR_STREAM_109,low,Roku Streaming Stick+,EU
DEV_0188,10.1.0,2024-03-27 00:00:00,ERR_STREAM_104,critical,Roku Express,NA
DEV_0451,10.1.0,2024-04-11 00:00:00,ERR_UPDATE_106,low,Roku Express,EU
DEV_0132,10.1.0,2024-04-20 00:00:00,ERR_STREAM_105,high,Roku Streaming Stick+,LATAM
DEV_0463,10.1.0,2024-03-25 00:00:00,ERR_STREAM_100,low,Roku Express,NA
DEV_0424,10.1.1,2024-04-07 00:00:00,ERR_UPDATE_108,medium,Roku TV,LATAM
DEV_0212,10.1.1,2024-04-05 00:00:00,ERR_CRASH_100,high,Roku Express,EU
DEV_0248,10.1.1,2024-05-02 00:00:00,ERR_BOOT_107,low,Roku Ultra,EU
DEV_0311,10.1.1,2024-04-26 00:00:00,ERR_CRASH_108,medium,Roku TV,EU
DEV_0228,10.1.1,2024-05-14 00:00:00,ERR_NETWORK_108,high,Roku Streaming Stick+,NA
DEV_0072,10.1.1,2024-05-09 00:00:00,ERR_NETWORK_101,low,Roku Premiere,NA
DEV_0016,10.1.1,2024-04-26 00:00:00,ERR_UPDATE_101,medium,Roku TV,LATAM
DEV_0297,10.1.1,2024-05-20 00:00:00,ERR_UPDATE_109,low,Roku Express,LATAM
DEV_0095,10.1.1,2024-05-02 00:00:00,ERR_STREAM_107,medium,Roku TV,EU
DEV_0219,10.1.1,2024-04-11 00:00:00,ERR_CRASH_108,medium,Roku TV,LATAM
DEV_0071,10.1.1,2024-04-01 00:00:00,ERR_BOOT_103,medium,Roku Premiere,APAC
DEV_0146,10.1.1,2024-04-25 00:00:00,ERR_CRASH_100,high,Roku Streaming Stick+,NA
DEV_0371,10.1.1,2024-05-13 00:00:00,ERR_BOOT_102,medium,Roku Ultra,LATAM
DEV_0200,10.1.1,2024-04-30 00:00:00,ERR_NETWORK_107,medium,Roku Premiere,APAC
DEV_0142,10.1.1,2024-04-16 00:00:00,ERR_STREAM_108,low,Roku Express,LATAM
DEV_0018,10.1.1,2024-04-21 00:00:00,ERR_UPDATE_109,high,Roku TV,NA
DEV_0160,10.1.1,2024-04-06 00:00:00,ERR_BOOT_108,low,Roku TV,NA
DEV_0304,10.1.1,2024-04-24 00:00:00,ERR_STREAM_107,medium,Roku Premiere,EU
DEV_0114,10.1.1,2024-03-31 00:00:00,ERR_NETWORK_101,low,Roku Streaming Stick+,NA
DEV_0167,10.1.1,2024-05-14 00:00:00,ERR_BOOT_107,medium,Roku Express,NA
DEV_0493,10.1.1,2024-04-21 00:00:00,ERR_STREAM_105,low,Roku Premiere,LATAM
DEV_0324,10.1.1,2024-05-10 00:00:00,ERR_UPDATE_105,medium,Roku Ultra,LATAM
DEV_0080,10.1.1,2024-05-09 00:00:00,ERR_NETWORK_106,critical,Roku Ultra,EU
DEV_0333,10.1.1,2024-04-07 00:00:00,ERR_UPDATE_101,medium,Roku Express,NA
DEV_0139,10.1.1,2024-05-07 00:00:00,ERR_UPDATE_102,critical,Roku Premiere,APAC
DEV_0254,10.1.1,2024-03-31 00:00:00,ERR_STREAM_104,medium,Roku Ultra,NA
DEV_0342,10.1.1,2024-05-05 00:00:00,ERR_NETWORK_109,low,Roku Express,NA
DEV_0339,10.1.1,2024-05-02 00:00:00,ERR_NETWORK_104,medium,Roku Express,NA
DEV_0216,10.1.1,2024-04-19 00:00:00,ERR_NETWORK_108,low,Roku Express,APAC
DEV_0478,10.1.1,2024-05-17 00:00:00,ERR_STREAM_100,low,Roku Ultra,LATAM
DEV_0208,10.1.1,2024-04-11 00:00:00,ERR_STREAM_107,low,Roku Ultra,LATAM
DEV_0355,10.1.1,2024-04-30 00:00:00,ERR_CRASH_101,low,Roku Ultra,LATAM
DEV_0331,10.1.1,2024-04-30 00:00:00,ERR_CRASH_103,low,Roku TV,LATAM
DEV_0448,10.1.1,2024-05-01 00:00:00,ERR_NETWORK_101,high,Roku TV,LATAM
DEV_0328,10.1.1,2024-05-10 00:00:00,ERR_NETWORK_108,medium,Roku Premiere,APAC
DEV_0398,10.1.1,2024-04-12 00:00:00,ERR_CRASH_104,medium,Roku TV,APAC
DEV_0341,10.2.0,2024-06-24 00:00:00,ERR_BOOT_106,high,Roku Premiere,LATAM
DEV_0154,10.2.0,2024-05-24 00:00:00,ERR_CRASH_105,low,Roku TV,NA
DEV_0486,10.2.0,2024-05-26 00:00:00,ERR_STREAM_104,low,Roku Premiere,EU
DEV_0164,10.2.0,2024-06-10 00:00:00,ERR_UPDATE_109,medium,Roku Streaming Stick+,LATAM
DEV_0358,10.2.0,2024-06-21 00:00:00,ERR_CRASH_104,low,Roku Premiere,APAC
DEV_0127,10.2.0,2024-06-09 00:00:00,ERR_CRASH_109,low,Roku Streaming Stick+,APAC
DEV_0117,10.2.0,2024-06-01 00:00:00,ERR_NETWORK_101,medium,Roku Streaming Stick+,LATAM
DEV_0082,10.2.0,2024-06-18 00:00:00,ERR_UPDATE_105,low,Roku Streaming Stick+,LATAM
DEV_0041,10.2.0,2024-06-02 00:00:00,ERR_BOOT_102,medium,Roku Ultra,APAC
DEV_0179,10.2.0,2024-05-18 00:00:00,ERR_CRASH_105,low,Roku Premiere,EU
DEV_0198,10.2.0,2024-06-16 00:00:00,ERR_UPDATE_105,high,Roku TV,NA
DEV_0493,10.2.0,2024-06-08 00:00:00,ERR_NETWORK_102,medium,Roku Express,EU
DEV_0394,10.2.0,2024-06-14 00:00:00,ERR_CRASH_100,high,Roku Ultra,NA
DEV_0256,10.2.0,2024-06-13 00:00:00,ERR_STREAM_109,low,Roku Premiere,APAC
DEV_0413,10.2.0,2024-06-07 00:00:00,ERR_NETWORK_100,high,Roku TV,NA
DEV_0129,10.2.0,2024-05-29 00:00:00,ERR_STREAM_101,medium,Roku TV,EU
DEV_0163,10.2.0,2024-06-14 00:00:00,ERR_STREAM_107,medium,Roku Ultra,LATAM
DEV_0129,10.2.0,2024-06-15 00:00:00,ERR_CRASH_108,low,Roku Ultra,NA
DEV_0215,10.2.0,2024-06-22 00:00:00,ERR_CRASH_100,low,Roku Streaming Stick+,EU
DEV_0276,10.2.0,2024-05-14 00:00:00,ERR_CRASH_108,low,Roku Premiere,NA
DEV_0118,10.2.0,2024-05-19 00:00:00,ERR_NETWORK_102,high,Roku Express,APAC
DEV_0492,10.2.0,2024-06-20 00:00:00,ERR_UPDATE_109,medium,Roku Ultra,EU
DEV_0453,10.2.0,2024-05-21 00:00:00,ERR_BOOT_104,critical,Roku Express,EU
DEV_0466,10.2.0,2024-06-06 00:00:00,ERR_BOOT_101,medium,Roku Express,EU
DEV_0399,10.2.0,2024-06-26 00:00:00,ERR_UPDATE_104,low,Roku Express,NA
DEV_0461,10.2.0,2024-05-11 00:00:00,ERR_BOOT_101,high,Roku TV,APAC
DEV_0386,10.2.0,2024-05-13 00:00:00,ERR_BOOT_104,low,Roku Ultra,LATAM
DEV_0299,10.2.0,2024-05-29 00:00:00,ERR_NETWORK_101,low,Roku Premiere,NA
DEV_0307,10.2.0,2024-06-17 00:00:00,ERR_CRASH_101,low,Roku TV,APAC
DEV_0254,10.2.0,2024-06-05 00:00:00,ERR_NETWORK_109,medium,Roku Premiere,LATAM
DEV_0065,10.2.0,2024-05-25 00:00:00,ERR_UPDATE_104,medium,Roku Ultra,APAC
DEV_0325,10.2.0,2024-05-30 00:00:00,ERR_UPDATE_109,low,Roku Ultra,APAC
DEV_0126,10.2.0,2024-06-25 00:00:00,ERR_UPDATE_101,high,Roku Streaming Stick+,LATAM
DEV_0429,10.2.0,2024-06-07 00:00:00,ERR_BOOT_103,medium,Roku TV,EU
DEV_0085,10.2.0,2024-06-03 00:00:00,ERR_CRASH_108,low,Roku TV,NA
DEV_0209,10.2.0,2024-05-25 00:00:00,ERR_NETWORK_107,low,Roku Premiere,NA
DEV_0419,10.2.0,2024-05-10 00:00:00,ERR_STREAM_105,high,Roku Express,EU
DEV_0415,10.2.0,2024-05-11 00:00:00,ERR_UPDATE_108,medium,Roku TV,APAC
DEV_0332,10.2.0,2024-05-31 00:00:00,ERR_CRASH_104,low,Roku Ultra,EU
DEV_0472,10.2.0,2024-06-14 00:00:00,ERR_NETWORK_105,low,Roku Streaming Stick+,EU
DEV_0454,10.2.0,2024-06-24 00:00:00,ERR_STREAM_100,high,Roku TV,LATAM
DEV_0204,10.2.0,2024-05-24 00:00:00,ERR_NETWORK_104,high,Roku Premiere,NA
DEV_0161,10.2.0,2024-05-29 00:00:00,ERR_NETWORK_104,low,Roku Premiere,APAC
DEV_0107,10.2.0,2024-05-09 00:00:00,ERR_UPDATE_101,medium,Roku Premiere,NA
DEV_0191,10.2.0,2024-06-01 00:00:00,ERR_UPDATE_107,high,Roku Express,LATAM
DEV_0488,10.2.0,2024-05-30 00:00:00,ERR_NETWORK_106,medium,Roku Ultra,NA
DEV_0117,10.2.0,2024-06-25 00:00:00,ERR_NETWORK_101,low,Roku Premiere,NA
DEV_0253,10.2.0,2024-06-16 00:00:00,ERR_STREAM_100,medium,Roku Premiere,NA
DEV_0304,10.2.0,2024-06-18 00:00:00,ERR_STREAM_105,medium,Roku Ultra,APAC
DEV_0007,10.2.1,2024-07-16 00:00:00,ERR_CRASH_101,low,Roku Streaming Stick+,APAC
DEV_0275,10.2.1,2024-06-26 00:00:00,ERR_CRASH_103,medium,Roku TV,LATAM
DEV_0144,10.2.1,2024-07-19 00:00:00,ERR_BOOT_108,medium,Roku Ultra,EU
DEV_0104,10.2.1,2024-06-11 00:00:00,ERR_UPDATE_105,high,Roku Streaming Stick+,NA
DEV_0424,10.2.1,2024-07-26 00:00:00,ERR_UPDATE_102,medium,Roku Ultra,LATAM
DEV_0406,10.2.1,2024-07-21 00:00:00,ERR_BOOT_101,medium,Roku Streaming Stick+,APAC
DEV_0270,10.2.1,2024-06-25 00:00:00,ERR_BOOT_105,high,Roku Streaming Stick+,APAC
DEV_0075,10.2.1,2024-06-19 00:00:00,ERR_NETWORK_108,low,Roku Premiere,EU
DEV_0028,10.2.1,2024-07-17 00:00:00,ERR_NETWORK_101,low,Roku Ultra,APAC
DEV_0461,10.2.1,2024-07-02 00:00:00,ERR_CRASH_106,low,Roku TV,NA
DEV_0461,10.2.1,2024-07-28 00:00:00,ERR_UPDATE_102,low,Roku Streaming Stick+,LATAM
DEV_0103,10.2.1,2024-06-12 00:00:00,ERR_STREAM_108,high,Roku Ultra,LATAM
DEV_0069,10.2.1,2024-06-21 00:00:00,ERR_BOOT_108,high,Roku Express,NA
DEV_0106,10.2.1,2024-06-24 00:00:00,ERR_NETWORK_109,medium,Roku TV,EU
DEV_0280,10.2.1,2024-06-14 00:00:00,ERR_STREAM_100,low,Roku Streaming Stick+,NA
DEV_0498,10.2.1,2024-07-14 00:00:00,ERR_UPDATE_107,critical,Roku Streaming Stick+,APAC
DEV_0223,10.2.1,2024-07-28 00:00:00,ERR_CRASH_105,low,Roku TV,APAC
DEV_0292,10.2.1,2024-06-23 00:00:00,ERR_CRASH_101,medium,Roku Premiere,LATAM
DEV_0017,10.2.1,2024-07-27 00:00:00,ERR_UPDATE_106,low,Roku Streaming Stick+,APAC
DEV_0287,10.2.1,2024-06-10 00:00:00,ERR_UPDATE_109,low,Roku Ultra,EU
DEV_0074,10.2.1,2024-07-22 00:00:00,ERR_NETWORK_100,high,Roku Premiere,LATAM
DEV_0350,10.2.1,2024-07-09 00:00:00,ERR_BOOT_100,medium,Roku Streaming Stick+,APAC
DEV_0063,10.2.1,2024-06-24 00:00:00,ERR_UPDATE_103,low,Roku Ultra,LATAM
DEV_0318,10.2.1,2024-06-22 00:00:00,ERR_UPDATE_106,low,Roku Premiere,EU
DEV_0225,10.2.1,2024-07-04 00:00:00,ERR_BOOT_109,low,Roku Ultra,LATAM
DEV_0463,10.2.1,2024-07-24 00:00:00,ERR_CRASH_108,low,Roku Ultra,EU
DEV_0172,10.2.1,2024-06-29 00:00:00,ERR_UPDATE_104,low,Roku Streaming Stick+,NA
DEV_0152,10.2.1,2024-06-13 00:00:00,ERR_STREAM_101,low,Roku TV,EU
DEV_0296,10.3.0,2024-07-17 00:00:00,ERR_STREAM_109,low,Roku Ultra,LATAM
DEV_0192,10.3.0,2024-08-04 00:00:00,ERR_CRASH_107,medium,Roku TV,APAC
DEV_0402,10.3.0,2024-08-12 00:00:00,ERR_BOOT_108,low,Roku TV,APAC
DEV_0087,10.3.0,2024-07-07 00:00:00,ERR_STREAM_104,medium,Roku Ultra,LATAM
DEV_0343,10.3.0,2024-07-02 00:00:00,ERR_CRASH_107,high,Roku TV,NA
DEV_0005,10.3.0,2024-08-09 00:00:00,ERR_UPDATE_103,medium,Roku Express,NA
DEV_0324,10.3.0,2024-08-03 00:00:00,ERR_BOOT_105,low,Roku Premiere,APAC
DEV_0231,10.3.0,2024-07-28 00:00:00,ERR_UPDATE_105,low,Roku Ultra,EU
DEV_0334,10.3.0,2024-07-07 00:00:00,ERR_CRASH_105,medium,Roku Ultra,LATAM
DEV_0420,10.3.0,2024-08-09 00:00:00,ERR_NETWORK_105,medium,Roku Premiere,NA
DEV_0310,10.3.0,2024-08-09 00:00:00,ERR_BOOT_102,low,Roku Streaming Stick+,APAC
DEV_0025,10.3.0,2024-06-30 00:00:00,ERR_BOOT_104,low,Roku TV,APAC
DEV_0363,10.3.0,2024-07-22 00:00:00,ERR_NETWORK_100,medium,Roku TV,LATAM
DEV_0076,10.3.0,2024-07-06 00:00:00,ERR_NETWORK_100,high,Roku Premiere,EU
DEV_0150,10.3.0,2024-07-11 00:00:00,ERR_BOOT_100,medium,Roku Premiere,EU
