ticket_id,device_id,firmware_version,created_at,error_code,issue_type,resolution,rma_issued
TKT_762697,DEV_0346,10.168.0,2077-05-12 00:00:00,ERR_UPDATE_102,update_failure,no_issue,0
TKT_655604,DEV_0167,10.140.0,2068-02-29 00:00:00,ERR_BOOT_104,update_failure,workaround,0
TKT_735463,DEV_0106,10.33.0,2034-09-26 00:00:00,ERR_UPDATE_101,hardware,fixed,0
TKT_261951,DEV_0239,10.32.6,2034-07-13 00:00:00,ERR_UPDATE_105,crash,fixed,0
TKT_163767,DEV_0391,10.62.1,2043-07-31 00:00:00,ERR_BOOT_105,hardware,workaround,0
TKT_261436,DEV_0075,10.55.0,2040-10-17 00:00:00,ERR_UPDATE_105,connectivity,no_issue,0
TKT_516110,DEV_0333,10.102.3,2055-08-11 00:00:00,ERR_STREAM_100,update_failure,fixed,0
TKT_855909,DEV_0023,10.176.3,2079-06-30 00:00:00,ERR_STREAM_106,hardware,workaround,0
TKT_712798,DEV_0044,10.111.2,2059-07-11 00:00:00,ERR_BOOT_109,connectivity,workaround,0
TKT_817133,DEV_0410,10.181.1,2082-05-30 00:00:00,ERR_BOOT_100,connectivity,no_issue,0
TKT_389359,DEV_0089,10.34.1,2034-11-05 00:00:00,ERR_UPDATE_107,update_failure,workaround,0
TKT_896847,DEV_0338,10.0.1,2024-01-26 00:00:00,ERR_CRASH_104,connectivity,no_issue,0
TKT_825996,DEV_0310,10.194.4,2087-01-22 00:00:00,ERR_NETWORK_100,connectivity,no_issue,0
TKT_609105,DEV_0337,10.38.1,2035-05-29 00:00:00,ERR_NETWORK_101,update_failure,workaround,0
TKT_566200,DEV_0343,10.103.7,2056-06-15 00:00:00,ERR_NETWORK_108,connectivity,workaround,0
TKT_850768,DEV_0081,10.187.0,2085-01-25 00:00:00,ERR_STREAM_108,crash,workaround,0
TKT_590396,DEV_0073,10.26.1,2031-08-03 00:00:00,ERR_STREAM_102,connectivity,no_issue,0
TKT_244798,DEV_0134,10.89.4,2051-08-14 00:00:00,ERR_CRASH_101,crash,workaround,0
TKT_869849,DEV_0068,10.176.26,2081-03-07 00:00:00,ERR_UPDATE_106,update_failure,fixed,0
TKT_937287,DEV_0337,10.60.9,2043-04-01 00:00:00,ERR_NETWORK_109,performance,workaround,0
TKT_270345,DEV_0096,10.36.1,2034-11-16 00:00:00,ERR_BOOT_102,crash,no_issue,0
TKT_141602,DEV_0330,10.177.3,2081-05-07 00:00:00,ERR_STREAM_106,connectivity,rma,1
TKT_722481,DEV_0294,10.42.2,2037-08-17 00:00:00,ERR_UPDATE_103,hardware,fixed,0
TKT_190884,DEV_0277,10.128.4,2063-12-23 00:00:00,ERR_STREAM_102,connectivity,workaround,0
TKT_491100,DEV_0136,10.189.0,2085-07-23 00:00:00,ERR_BOOT_109,performance,workaround,0
TKT_753993,DEV_0008,10.130.5,2064-08-29 00:00:00,ERR_BOOT_101,performance,no_issue,0
TKT_594944,DEV_0081,10.15.3,2028-04-20 00:00:00,ERR_CRASH_103,connectivity,fixed,0
TKT_865944,DEV_0298,10.15.1,2028-02-23 00:00:00,ERR_UPDATE_105,performance,workaround,0
TKT_563742,DEV_0433,10.91.3,2052-08-09 00:00:00,ERR_BOOT_103,update_failure,no_issue,0
TKT_275153,DEV_0227,10.204.3,2091-09-03 00:00:00,ERR_STREAM_106,hardware,no_issue,0
TKT_834956,DEV_0127,10.128.4,2063-11-17 00:00:00,ERR_CRASH_104,performance,rma,1
TKT_429604,DEV_0339,10.183.2,2083-03-07 00:00:00,ERR_NETWORK_109,update_failure,no_issue,0
TKT_175824,DEV_0161,10.75.0,2049-01-20 00:00:00,ERR_UPDATE_108,connectivity,workaround,0
TKT_304348,DEV_0369,10.69.5,2045-10-26 00:00:00,ERR_BOOT_103,hardware,fixed,0
TKT_639795,DEV_0074,10.151.1,2073-01-23 00:00:00,ERR_NETWORK_103,performance,workaround,0
TKT_434675,DEV_0074,10.143.4,2070-04-03 00:00:00,ERR_BOOT_105,connectivity,no_issue,0
TKT_203580,DEV_0453,10.123.3,2062-12-27 00:00:00,ERR_CRASH_103,hardware,no_issue,0
TKT_941658,DEV_0237,10.113.5,2060-09-09 00:00:00,ERR_STREAM_107,hardware,fixed,0
TKT_243779,DEV_0330,10.38.6,2035-09-04 00:00:00,ERR_BOOT_100,hardware,no_issue,0
TKT_988369,DEV_0410,10.75.0,2049-02-16 00:00:00,ERR_NETWORK_104,update_failure,workaround,0
TKT_615486,DEV_0186,10.99.0,2054-09-10 00:00:00,ERR_UPDATE_105,update_failure,workaround,0
TKT_376333,DEV_0347,10.32.5,2034-07-05 00:00:00,ERR_BOOT_103,performance,workaround,0
TKT_759264,DEV_0309,10.174.1,2078-11-27 00:00:00,ERR_NETWORK_106,crash,fixed,0
TKT_754141,DEV_0445,10.12.3,2026-08-28 00:00:00,ERR_UPDATE_104,connectivity,fixed,0
TKT_805366,DEV_0004,10.156.1,2074-06-03 00:00:00,ERR_UPDATE_101,crash,workaround,0
TKT_385701,DEV_0107,10.204.3,2091-09-02 00:00:00,ERR_CRASH_100,performance,fixed,0
TKT_322861,DEV_0176,10.110.7,2058-12-25 00:00:00,ERR_NETWORK_108,performance,rma,1
TKT_402784,DEV_0205,10.110.7,2058-11-15 00:00:00,ERR_BOOT_102,update_failure,workaround,0
TKT_349576,DEV_0430,10.137.1,2067-04-23 00:00:00,ERR_UPDATE_108,hardware,fixed,0
TKT_180136,DEV_0130,10.155.0,2074-03-18 00:00:00,ERR_UPDATE_103,crash,workaround,0
TKT_260573,DEV_0137,10.23.0,2030-04-02 00:00:00,ERR_UPDATE_107,hardware,no_issue,0
TKT_309043,DEV_0118,10.179.7,2082-03-29 00:00:00,ERR_NETWORK_104,performance,workaround,0
TKT_989003,DEV_0241,10.80.2,2049-12-20 00:00:00,ERR_NETWORK_104,connectivity,workaround,0
TKT_678978,DEV_0421,10.199.4,2089-09-25 00:00:00,ERR_NETWORK_102,performance,fixed,0
TKT_358560,DEV_0280,10.196.6,2088-06-13 00:00:00,ERR_CRASH_103,connectivity,fixed,0
TKT_725657,DEV_0202,10.28.0,2033-02-27 00:00:00,ERR_NETWORK_107,crash,fixed,0
TKT_289041,DEV_0140,10.136.3,2067-01-24 00:00:00,ERR_CRASH_108,performance,fixed,0
TKT_593504,DEV_0090,10.176.1,2079-04-29 00:00:00,ERR_STREAM_103,crash,fixed,0
TKT_311143,DEV_0275,10.88.0,2051-05-18 00:00:00,ERR_BOOT_107,performance,fixed,0
TKT_939555,DEV_0363,10.159.0,2075-08-28 00:00:00,ERR_BOOT_101,crash,no_issue,0
TKT_566741,DEV_0105,10.12.16,2027-08-12 00:00:00,ERR_CRASH_108,update_failure,no_issue,0
TKT_242443,DEV_0082,10.98.3,2054-06-06 00:00:00,ERR_BOOT_102,hardware,no_issue,0
TKT_125109,DEV_0198,10.38.0,2035-03-15 00:00:00,ERR_UPDATE_104,hardware,fixed,0
TKT_298252,DEV_0158,10.196.8,2088-08-14 00:00:00,ERR_CRASH_103,connectivity,workaround,0
TKT_597688,DEV_0264,10.172.2,2078-09-07 00:00:00,ERR_BOOT_107,connectivity,no_issue,0
TKT_483163,DEV_0331,10.141.1,2068-12-29 00:00:00,ERR_BOOT_103,hardware,workaround,0
TKT_151679,DEV_0156,10.49.2,2038-07-28 00:00:00,ERR_CRASH_107,crash,fixed,0
TKT_260355,DEV_0481,10.28.2,2033-05-20 00:00:00,ERR_NETWORK_106,hardware,no_issue,0
TKT_971814,DEV_0095,10.189.7,2085-12-17 00:00:00,ERR_CRASH_108,crash,fixed,0
TKT_447206,DEV_0432,10.203.0,2090-11-16 00:00:00,ERR_BOOT_106,hardware,rma,1
TKT_749936,DEV_0111,10.170.0,2078-02-27 00:00:00,ERR_BOOT_102,hardware,workaround,0
TKT_471467,DEV_0460,10.25.9,2031-01-30 00:00:00,ERR_BOOT_106,connectivity,workaround,0
TKT_904463,DEV_0213,10.205.3,2092-01-01 00:00:00,ERR_NETWORK_102,connectivity,workaround,0
TKT_117657,DEV_0006,10.32.2,2034-04-08 00:00:00,ERR_STREAM_102,hardware,workaround,0
TKT_440773,DEV_0483,10.111.8,2059-12-08 00:00:00,ERR_CRASH_109,connectivity,workaround,0
TKT_921511,DEV_0061,10.205.4,2092-01-15 00:00:00,ERR_CRASH_104,crash,rma,1
TKT_285445,DEV_0304,10.72.4,2047-04-21 00:00:00,ERR_BOOT_103,hardware,workaround,0
TKT_313500,DEV_0007,10.52.1,2039-06-29 00:00:00,ERR_STREAM_101,crash,workaround,0
TKT_346627,DEV_0460,10.128.3,2063-11-20 00:00:00,ERR_CRASH_109,crash,workaround,0
TKT_836636,DEV_0295,10.103.6,2056-05-10 00:00:00,ERR_BOOT_106,crash,fixed,0
TKT_553966,DEV_0436,10.105.9,2057-02-18 00:00:00,ERR_UPDATE_104,crash,workaround,0
TKT_240625,DEV_0209,10.194.5,2087-01-11 00:00:00,ERR_CRASH_107,update_failure,workaround,0
TKT_644653,DEV_0235,10.94.1,2053-03-10 00:00:00,ERR_NETWORK_103,performance,rma,1
TKT_547224,DEV_0181,10.201.4,2090-05-05 00:00:00,ERR_UPDATE_109,performance,workaround,0
TKT_483327,DEV_0483,10.196.3,2088-02-24 00:00:00,ERR_UPDATE_102,connectivity,fixed,0
TKT_178225,DEV_0120,10.42.1,2037-06-20 00:00:00,ERR_STREAM_107,update_failure,workaround,0
TKT_544232,DEV_0154,10.40.9,2036-08-04 00:00:00,ERR_BOOT_105,performance,workaround,0
TKT_662745,DEV_0117,10.143.11,2070-09-19 00:00:00,ERR_CRASH_108,performance,workaround,0
TKT_426016,DEV_0264,10.176.0,2079-05-01 00:00:00,ERR_NETWORK_105,connectivity,fixed,0
TKT_457320,DEV_0469,10.73.1,2047-07-28 00:00:00,ERR_NETWORK_101,update_failure,no_issue,0
TKT_726640,DEV_0234,10.143.5,2070-05-17 00:00:00,ERR_NETWORK_106,connectivity,no_issue,0
TKT_373876,DEV_0187,10.156.0,2074-04-12 00:00:00,ERR_NETWORK_102,connectivity,no_issue,0
TKT_980099,DEV_0104,10.22.0,2029-11-11 00:00:00,ERR_NETWORK_103,performance,workaround,0
TKT_119874,DEV_0423,10.176.23,2080-10-28 00:00:00,ERR_BOOT_107,update_failure,rma,1
TKT_653636,DEV_0338,10.154.2,2073-09-13 00:00:00,ERR_NETWORK_104,update_failure,workaround,0
TKT_368649,DEV_0266,10.111.4,2059-09-05 00:00:00,ERR_BOOT_109,update_failure,fixed,0
TKT_292639,DEV_0080,10.75.4,2049-03-16 00:00:00,ERR_STREAM_104,hardware,no_issue,0
TKT_493761,DEV_0207,10.199.3,2089-08-06 00:00:00,ERR_STREAM_108,performance,no_issue,0
TKT_425082,DEV_0228,10.176.21,2080-08-22 00:00:00,ERR_NETWORK_102,connectivity,workaround,0
TKT_806364,DEV_0332,10.78.0,2049-06-27 00:00:00,ERR_BOOT_105,update_failure,fixed,0
TKT_484817,DEV_0394,10.91.2,2052-07-28 00:00:00,ERR_NETWORK_101,crash,rma,1
TKT_754197,DEV_0227,10.99.0,2054-09-21 00:00:00,ERR_BOOT_106,update_failure,workaround,0
TKT_131341,DEV_0124,10.27.7,2032-01-20 00:00:00,ERR_UPDATE_105,crash,no_issue,0
TKT_590972,DEV_0293,10.157.0,2074-07-06 00:00:00,ERR_NETWORK_108,connectivity,fixed,0
TKT_536645,DEV_0228,10.1.1,2024-05-19 00:00:00,ERR_NETWORK_108,performance,workaround,0
TKT_125406,DEV_0408,10.25.5,2030-11-14 00:00:00,ERR_CRASH_103,crash,fixed,0
TKT_349230,DEV_0159,10.87.4,2051-01-28 00:00:00,ERR_STREAM_104,crash,fixed,0
TKT_753559,DEV_0336,10.39.0,2035-09-29 00:00:00,ERR_NETWORK_102,connectivity,rma,1
TKT_489156,DEV_0492,10.182.0,2082-07-18 00:00:00,ERR_BOOT_102,crash,workaround,0
TKT_159212,DEV_0178,10.46.0,2038-01-15 00:00:00,ERR_CRASH_102,update_failure,no_issue,0
TKT_944316,DEV_0149,10.27.20,2033-02-24 00:00:00,ERR_NETWORK_101,connectivity,rma,1
TKT_624674,DEV_0040,10.59.1,2042-06-13 00:00:00,ERR_CRASH_107,hardware,rma,1
TKT_339268,DEV_0323,10.158.0,2075-02-14 00:00:00,ERR_BOOT_108,crash,fixed,0
TKT_442099,DEV_0213,10.196.1,2087-12-28 00:00:00,ERR_CRASH_105,performance,workaround,0
TKT_455955,DEV_0181,10.205.4,2092-01-13 00:00:00,ERR_NETWORK_106,hardware,rma,1
TKT_954399,DEV_0411,10.49.0,2038-06-05 00:00:00,ERR_NETWORK_104,update_failure,fixed,0
TKT_192390,DEV_0193,10.41.2,2036-11-02 00:00:00,ERR_UPDATE_103,hardware,rma,1
TKT_404357,DEV_0102,10.7.4,2025-07-04 00:00:00,ERR_CRASH_109,update_failure,rma,1
TKT_425141,DEV_0106,10.184.4,2084-01-16 00:00:00,ERR_UPDATE_102,connectivity,no_issue,0
TKT_505132,DEV_0018,10.9.3,2025-12-10 00:00:00,ERR_CRASH_104,hardware,workaround,0
TKT_599034,DEV_0393,10.135.3,2066-10-29 00:00:00,ERR_CRASH_103,crash,no_issue,0
TKT_752577,DEV_0422,10.164.2,2076-07-31 00:00:00,ERR_CRASH_106,hardware,fixed,0
TKT_794760,DEV_0386,10.139.2,2068-02-07 00:00:00,ERR_UPDATE_104,update_failure,fixed,0
TKT_433820,DEV_0274,10.194.0,2086-09-13 00:00:00,ERR_CRASH_103,update_failure,no_issue,0
TKT_781369,DEV_0091,10.32.2,2034-04-19 00:00:00,ERR_BOOT_108,update_failure,fixed,0
TKT_674956,DEV_0055,10.74.10,2048-06-01 00:00:00,ERR_UPDATE_108,performance,rma,1
TKT_641752,DEV_0142,10.62.2,2043-10-17 00:00:00,ERR_UPDATE_100,crash,workaround,0
TKT_988957,DEV_0466,10.194.5,2087-01-20 00:00:00,ERR_BOOT_108,performance,rma,1
TKT_798938,DEV_0473,10.40.7,2036-06-05 00:00:00,ERR_STREAM_106,update_failure,no_issue,0
TKT_660281,DEV_0044,10.26.0,2031-07-19 00:00:00,ERR_CRASH_104,performance,fixed,0
TKT_666185,DEV_0012,10.109.6,2058-02-17 00:00:00,ERR_CRASH_101,performance,fixed,0
TKT_692866,DEV_0262,10.207.0,2092-04-27 00:00:00,ERR_CRASH_107,performance,fixed,0
TKT_944425,DEV_0150,10.146.2,2071-07-18 00:00:00,ERR_STREAM_105,connectivity,no_issue,0
TKT_101131,DEV_0300,10.118.0,2061-08-02 00:00:00,ERR_BOOT_109,hardware,no_issue,0
TKT_438411,DEV_0043,10.35.0,2034-12-02 00:00:00,ERR_UPDATE_107,performance,workaround,0
TKT_767244,DEV_0190,10.12.15,2027-06-07 00:00:00,ERR_CRASH_108,connectivity,workaround,0
TKT_300892,DEV_0314,10.127.0,2063-07-01 00:00:00,ERR_STREAM_103,crash,fixed,0
TKT_546994,DEV_0489,10.157.5,2074-10-16 00:00:00,ERR_UPDATE_101,crash,fixed,0
TKT_198614,DEV_0476,10.186.3,2084-12-23 00:00:00,ERR_UPDATE_105,hardware,fixed,0
TKT_581740,DEV_0410,10.152.0,2073-05-30 00:00:00,ERR_STREAM_100,performance,workaround,0
TKT_855026,DEV_0267,10.128.6,2064-02-06 00:00:00,ERR_BOOT_102,update_failure,workaround,0
TKT_123820,DEV_0230,10.194.11,2087-06-08 00:00:00,ERR_NETWORK_106,performance,fixed,0
TKT_508796,DEV_0371,10.133.1,2065-12-22 00:00:00,ERR_NETWORK_100,connectivity,workaround,0
TKT_964000,DEV_0164,10.195.1,2087-11-08 00:00:00,ERR_UPDATE_106,crash,no_issue,0
TKT_949863,DEV_0002,10.100.0,2055-03-10 00:00:00,ERR_UPDATE_105,connectivity,rma,1
TKT_946075,DEV_0056,10.176.23,2080-10-13 00:00:00,ERR_UPDATE_102,connectivity,workaround,0
TKT_252591,DEV_0118,10.168.6,2077-09-02 00:00:00,ERR_UPDATE_101,performance,no_issue,0
TKT_479765,DEV_0031,10.32.6,2034-07-30 00:00:00,ERR_BOOT_101,performance,no_issue,0
TKT_792314,DEV_0362,10.159.0,2075-08-24 00:00:00,ERR_STREAM_102,crash,workaround,0
TKT_449229,DEV_0460,10.137.5,2067-08-20 00:00:00,ERR_BOOT_109,hardware,fixed,0
TKT_336581,DEV_0425,10.40.1,2035-12-13 00:00:00,ERR_UPDATE_107,performance,no_issue,0
TKT_232474,DEV_0306,10.175.4,2079-02-21 00:00:00,ERR_BOOT_102,performance,workaround,0
TKT_661979,DEV_0043,10.197.5,2089-03-18 00:00:00,ERR_UPDATE_101,performance,fixed,0
TKT_386254,DEV_0171,10.132.0,2065-10-23 00:00:00,ERR_CRASH_102,update_failure,fixed,0
TKT_328237,DEV_0440,10.34.1,2034-10-30 00:00:00,ERR_CRASH_106,performance,no_issue,0
TKT_355314,DEV_0171,10.50.4,2039-03-18 00:00:00,ERR_UPDATE_102,crash,workaround,0
TKT_105921,DEV_0442,10.133.3,2066-02-28 00:00:00,ERR_BOOT_102,crash,no_issue,0
TKT_153884,DEV_0041,10.102.2,2055-08-23 00:00:00,ERR_UPDATE_102,crash,workaround,0
TKT_467019,DEV_0434,10.113.2,2060-07-18 00:00:00,ERR_BOOT_102,performance,workaround,0
TKT_320566,DEV_0418,10.32.6,2034-07-17 00:00:00,ERR_CRASH_108,connectivity,fixed,0
TKT_954003,DEV_0176,10.52.5,2039-09-21 00:00:00,ERR_UPDATE_103,connectivity,workaround,0
TKT_315999,DEV_0110,10.125.0,2063-04-09 00:00:00,ERR_CRASH_100,performance,workaround,0
TKT_151571,DEV_0463,10.178.0,2081-07-18 00:00:00,ERR_BOOT_105,update_failure,workaround,0
TKT_933223,DEV_0146,10.94.1,2053-01-24 00:00:00,ERR_BOOT_108,crash,workaround,0
TKT_759654,DEV_0481,10.157.0,2074-06-21 00:00:00,ERR_BOOT_104,crash,no_issue,0
TKT_670454,DEV_0175,10.133.3,2066-03-01 00:00:00,ERR_UPDATE_107,connectivity,workaround,0
TKT_954299,DEV_0496,10.196.7,2088-06-20 00:00:00,ERR_UPDATE_102,hardware,no_issue,0
TKT_314064,DEV_0258,10.203.6,2091-04-06 00:00:00,ERR_BOOT_102,hardware,fixed,0
TKT_687458,DEV_0057,10.105.1,2056-08-06 00:00:00,ERR_UPDATE_102,hardware,no_issue,0
TKT_625400,DEV_0390,10.139.0,2067-12-23 00:00:00,ERR_UPDATE_107,performance,rma,1
TKT_201270,DEV_0325,10.138.0,2067-11-23 00:00:00,ERR_BOOT_109,performance,workaround,0
TKT_204425,DEV_0042,10.60.13,2043-06-16 00:00:00,ERR_NETWORK_108,hardware,fixed,0
TKT_971686,DEV_0400,10.89.9,2051-11-18 00:00:00,ERR_NETWORK_106,update_failure,no_issue,0
TKT_339030,DEV_0042,10.164.3,2076-08-14 00:00:00,ERR_BOOT_101,update_failure,no_issue,0
TKT_277386,DEV_0210,10.55.8,2041-07-26 00:00:00,ERR_STREAM_108,update_failure,fixed,0
TKT_437781,DEV_0476,10.154.1,2073-09-29 00:00:00,ERR_STREAM_108,performance,workaround,0
TKT_337691,DEV_0100,10.70.3,2046-04-18 00:00:00,ERR_UPDATE_105,crash,workaround,0
TKT_207633,DEV_0112,10.131.9,2065-07-05 00:00:00,ERR_CRASH_107,crash,no_issue,0
TKT_683937,DEV_0477,10.55.7,2041-07-01 00:00:00,ERR_NETWORK_104,update_failure,workaround,0
TKT_159303,DEV_0272,10.130.4,2064-08-09 00:00:00,ERR_BOOT_105,crash,workaround,0
TKT_114245,DEV_0144,10.179.3,2081-11-15 00:00:00,ERR_NETWORK_103,performance,workaround,0
TKT_864162,DEV_0188,10.112.1,2060-01-30 00:00:00,ERR_CRASH_108,crash,workaround,0
TKT_134365,DEV_0385,10.146.4,2071-08-15 00:00:00,ERR_NETWORK_108,update_failure,no_issue,0
TKT_974783,DEV_0243,10.124.0,2063-03-08 00:00:00,ERR_BOOT_101,crash,workaround,0
TKT_527436,DEV_0433,10.199.2,2089-08-10 00:00:00,ERR_BOOT_106,update_failure,fixed,0
TKT_161138,DEV_0352,10.87.4,2051-02-09 00:00:00,ERR_CRASH_108,hardware,no_issue,0
TKT_631493,DEV_0146,10.151.4,2073-03-15 00:00:00,ERR_NETWORK_101,crash,no_issue,0
TKT_792473,DEV_0416,10.55.9,2041-08-15 00:00:00,ERR_CRASH_101,connectivity,rma,1
TKT_244126,DEV_0088,10.71.4,2046-08-23 00:00:00,ERR_NETWORK_108,crash,workaround,0
TKT_653654,DEV_0193,10.74.6,2048-03-25 00:00:00,ERR_CRASH_105,crash,no_issue,0
TKT_763261,DEV_0449,10.120.6,2062-07-23 00:00:00,ERR_STREAM_102,performance,fixed,0
TKT_783741,DEV_0254,10.176.9,2079-11-12 00:00:00,ERR_NETWORK_109,update_failure,no_issue,0
TKT_326687,DEV_0025,10.87.0,2050-10-29 00:00:00,ERR_CRASH_102,crash,workaround,0
TKT_436805,DEV_0066,10.74.8,2048-04-13 00:00:00,ERR_UPDATE_105,performance,no_issue,0
TKT_850864,DEV_0367,10.70.2,2046-02-22 00:00:00,ERR_BOOT_104,hardware,no_issue,0
TKT_268315,DEV_0062,10.120.6,2062-07-28 00:00:00,ERR_UPDATE_107,crash,workaround,0
TKT_122354,DEV_0029,10.107.2,2057-06-02 00:00:00,ERR_STREAM_104,performance,no_issue,0
TKT_314883,DEV_0016,10.156.1,2074-05-12 00:00:00,ERR_BOOT_106,hardware,workaround,0
TKT_102712,DEV_0138,10.54.1,2040-09-01 00:00:00,ERR_CRASH_100,connectivity,rma,1
TKT_959427,DEV_0181,10.175.1,2078-12-29 00:00:00,ERR_CRASH_105,connectivity,no_issue,0
TKT_829518,DEV_0413,10.125.2,2063-05-23 00:00:00,ERR_CRASH_109,update_failure,workaround,0
TKT_470758,DEV_0110,10.27.13,2032-07-10 00:00:00,ERR_NETWORK_107,hardware,workaround,0
TKT_442682,DEV_0110,10.130.5,2064-10-08 00:00:00,ERR_STREAM_106,update_failure,fixed,0
TKT_576102,DEV_0475,10.108.2,2057-08-03 00:00:00,ERR_UPDATE_109,connectivity,no_issue,0
TKT_254694,DEV_0202,10.117.3,2061-05-10 00:00:00,ERR_UPDATE_100,performance,no_issue,0
TKT_460902,DEV_0386,10.70.0,2046-02-12 00:00:00,ERR_CRASH_104,update_failure,fixed,0
TKT_231268,DEV_0409,10.56.2,2042-04-19 00:00:00,ERR_CRASH_104,crash,no_issue,0
TKT_372865,DEV_0256,10.176.0,2079-05-03 00:00:00,ERR_STREAM_105,hardware,rma,1
TKT_200905,DEV_0170,10.180.1,2082-03-10 00:00:00,ERR_CRASH_106,hardware,workaround,0
TKT_676302,DEV_0417,10.25.8,2031-01-22 00:00:00,ERR_STREAM_105,crash,workaround,0
TKT_500518,DEV_0378,10.72.7,2047-06-13 00:00:00,ERR_UPDATE_105,hardware,fixed,0
TKT_446306,DEV_0200,10.118.2,2061-10-02 00:00:00,ERR_UPDATE_108,crash,fixed,0
TKT_258632,DEV_0127,10.176.5,2079-09-10 00:00:00,ERR_STREAM_107,crash,rma,1
TKT_539177,DEV_0185,10.12.13,2027-05-30 00:00:00,ERR_NETWORK_102,hardware,workaround,0
TKT_131124,DEV_0499,10.49.4,2038-09-26 00:00:00,ERR_BOOT_100,hardware,no_issue,0
TKT_906443,DEV_0440,10.12.2,2026-08-04 00:00:00,ERR_BOOT_102,update_failure,rma,1
TKT_397764,DEV_0408,10.120.5,2062-07-10 00:00:00,ERR_CRASH_101,connectivity,no_issue,0
TKT_481216,DEV_0456,10.41.5,2037-01-31 00:00:00,ERR_BOOT_109,crash,fixed,0
TKT_642292,DEV_0126,10.27.19,2033-03-01 00:00:00,ERR_BOOT_107,update_failure,fixed,0
TKT_237965,DEV_0124,10.120.5,2062-06-22 00:00:00,ERR_CRASH_108,crash,fixed,0
TKT_622339,DEV_0291,10.152.0,2073-07-01 00:00:00,ERR_STREAM_104,crash,fixed,0
TKT_229469,DEV_0430,10.82.1,2050-04-12 00:00:00,ERR_NETWORK_108,performance,rma,1
TKT_270143,DEV_0321,10.103.6,2056-05-24 00:00:00,ERR_NETWORK_103,performance,no_issue,0
TKT_352201,DEV_0010,10.197.5,2089-02-09 00:00:00,ERR_NETWORK_102,connectivity,rma,1
TKT_726092,DEV_0064,10.135.1,2066-09-21 00:00:00,ERR_BOOT_104,performance,fixed,0
TKT_590404,DEV_0349,10.26.2,2031-09-05 00:00:00,ERR_UPDATE_102,connectivity,workaround,0
TKT_200814,DEV_0437,10.122.2,2062-08-16 00:00:00,ERR_BOOT_108,connectivity,no_issue,0
TKT_582094,DEV_0193,10.166.1,2077-01-19 00:00:00,ERR_CRASH_104,connectivity,fixed,0
TKT_749021,DEV_0181,10.180.1,2082-03-10 00:00:00,ERR_BOOT_102,crash,fixed,0
TKT_342887,DEV_0181,10.176.12,2080-02-09 00:00:00,ERR_STREAM_107,performance,workaround,0
TKT_971417,DEV_0168,10.55.5,2041-05-25 00:00:00,ERR_BOOT_108,performance,no_issue,0
TKT_232229,DEV_0262,10.175.0,2078-11-26 00:00:00,ERR_BOOT_101,hardware,no_issue,0
TKT_349744,DEV_0225,10.88.0,2051-04-29 00:00:00,ERR_BOOT_108,connectivity,no_issue,0
TKT_218568,DEV_0432,10.70.1,2046-02-04 00:00:00,ERR_NETWORK_100,crash,fixed,0
TKT_388562,DEV_0379,10.193.1,2086-09-09 00:00:00,ERR_BOOT_106,update_failure,no_issue,0
TKT_193702,DEV_0304,10.55.17,2042-02-13 00:00:00,ERR_BOOT_107,crash,workaround,0
