firmware_version,days_since_release,error_count
10.100.1,10,2
10.100.1,11,1
10.100.1,12,3
10.100.1,14,1
10.100.1,15,1
10.100.1,16,1
10.100.1,17,1
10.100.1,18,1
10.100.1,20,1
10.100.1,22,2
10.100.1,23,1
10.100.1,25,1
10.100.1,26,3
10.100.1,29,1
10.100.1,31,1
10.100.1,33,1
10.100.1,38,2
10.100.1,39,1
10.100.1,40,2
10.100.1,43,2
10.100.1,44,4
10.101.0,0,1
10.101.0,1,1
10.101.0,2,1
10.101.0,3,1
10.101.0,7,1
10.101.0,8,1
10.101.0,9,1
10.101.0,11,1
10.101.0,13,1
10.101.0,14,1
10.101.0,17,1
10.101.0,18,3
10.101.0,19,3
10.101.0,20,1
10.101.0,22,1
10.101.0,23,2
10.101.0,25,1
10.101.0,26,2
10.101.0,27,2
10.101.0,29,3
10.101.0,30,2
10.101.0,31,1
10.101.0,32,2
10.101.0,34,2
10.101.0,35,1
10.101.0,36,1
10.101.0,37,1
10.101.0,38,2
10.101.0,39,1
10.101.0,40,1
10.101.0,42,6
10.101.0,43,2
10.101.0,44,2
10.101.1,0,1
10.101.1,1,2
10.101.1,2,3
10.101.1,3,2
10.101.1,4,2
10.101.1,5,2
10.101.1,6,1
10.101.1,7,1
10.101.1,8,3
10.101.1,9,2
10.101.1,10,1
10.101.1,11,1
10.101.1,12,2
10.101.1,13,3
10.101.1,15,1
10.101.1,16,4
10.101.1,17,1
10.101.1,19,1
10.101.1,21,1
10.101.1,22,2
10.101.1,23,1
10.101.1,24,3
10.101.1,26,1
10.101.1,27,1
10.101.1,28,2
10.101.1,29,2
10.101.1,30,1
10.101.1,32,1
10.101.1,34,1
10.101.1,35,1
10.101.1,37,1
10.101.1,39,1
10.101.1,40,2
10.101.1,42,2
10.101.1,43,2
10.102.0,0,1
10.102.0,1,1
10.102.0,2,1
10.102.0,4,1
10.102.0,7,2
10.102.0,8,1
10.102.0,9,2
10.102.0,12,1
10.102.0,13,1
10.102.0,14,2
10.102.0,18,3
10.102.0,21,1
10.102.0,22,1
10.102.0,24,2
10.102.0,25,1
10.102.0,26,1
10.102.0,28,1
10.102.0,30,1
10.102.0,31,1
10.102.0,32,1
10.102.0,33,3
10.102.0,34,4
10.102.0,35,1
10.102.0,37,3
10.102.0,40,1
10.102.0,41,1
10.102.0,42,2
10.102.0,44,2
10.102.1,0,1
10.102.1,3,3
10.102.1,6,2
10.102.1,7,3
10.102.1,9,2
10.102.1,10,1
10.102.1,11,2
10.102.1,12,2
10.102.1,13,1
10.102.1,14,2
10.102.1,15,1
10.102.1,16,2
10.102.1,17,1
10.102.1,18,2
10.102.1,19,2
10.102.1,20,1
10.102.1,21,2
10.102.1,25,2
10.102.1,26,2
10.102.1,27,1
10.102.1,28,3
10.102.1,31,1
10.102.1,34,2
10.102.1,36,2
10.102.1,38,1
10.102.1,39,1
10.102.1,40,2
10.102.1,42,2
10.102.1,43,1
10.102.2,0,3
10.102.2,1,2
10.102.2,2,3
10.102.2,4,4
10.102.2,5,2
10.102.2,6,2
10.102.2,7,2
10.102.2,8,2
10.102.2,13,1
10.102.2,15,2
10.102.2,16,2
10.102.2,17,1
10.102.2,18,1
10.102.2,19,1
10.102.2,20,2
10.102.2,21,1
10.102.2,22,1
10.102.2,24,2
10.102.2,25,1
10.102.2,26,2
10.102.2,27,1
10.102.2,28,1
10.102.2,31,3
10.102.2,32,2
10.102.2,33,5
10.102.2,34,2
10.102.2,36,1
10.102.2,37,2
10.102.2,39,1
10.102.2,40,6
10.102.2,41,1
10.102.2,42,1
10.102.2,43,2
10.102.2,44,1
10.102.3,0,2
10.102.3,1,1
10.102.3,2,2
10.102.3,4,1
10.102.3,5,2
10.102.3,6,1
10.102.3,10,2
10.102.3,11,2
10.102.3,12,1
10.102.3,13,1
10.102.3,14,1
10.102.3,16,1
10.102.3,17,1
10.102.3,18,3
10.102.3,19,1
10.102.3,20,1
10.102.3,21,2
10.102.3,22,2
10.102.3,23,1
10.102.3,24,1
10.102.3,25,1
10.102.3,26,1
10.102.3,27,2
10.102.3,28,1
10.102.3,29,1
10.102.3,30,1
10.102.3,35,1
10.102.3,36,1
10.102.3,38,3
10.102.3,39,1
10.102.3,41,1
10.102.3,42,2
10.102.3,43,1
10.102.3,44,2
10.102.4,3,1
10.102.4,5,4
10.102.4,7,2
10.102.4,8,2
10.102.4,12,2
10.102.4,13,1
10.102.4,14,1
10.102.4,16,2
10.102.4,17,1
10.102.4,21,1
10.102.4,22,1
10.102.4,25,1
10.102.4,27,2
10.102.4,29,1
10.102.4,30,2
10.102.4,31,2
10.102.4,32,1
10.102.4,33,2
10.102.4,35,1
10.102.4,39,2
10.102.4,42,1
10.102.4,43,2
10.103.0,1,1
10.103.0,2,1
10.103.0,4,2
10.103.0,5,2
10.103.0,6,1
10.103.0,8,1
10.103.0,13,1
10.103.0,14,1
10.103.0,15,3
10.103.0,17,2
10.103.0,18,2
10.103.0,19,1
10.103.0,20,2
10.103.0,21,4
10.103.0,27,1
10.103.0,29,2
10.103.0,31,2
10.103.0,35,1
10.103.0,36,1
10.103.0,39,2
10.103.0,40,2
10.103.0,42,2
10.103.0,43,1
10.103.0,44,3
10.103.1,0,1
10.103.1,1,2
10.103.1,2,1
10.103.1,4,2
10.103.1,5,2
10.103.1,7,1
10.103.1,8,2
10.103.1,10,2
10.103.1,12,1
10.103.1,14,4
10.103.1,15,1
10.103.1,17,1
10.103.1,18,2
10.103.1,19,1
10.103.1,20,1
10.103.1,21,1
10.103.1,23,1
10.103.1,25,3
10.103.1,26,1
10.103.1,27,1
10.103.1,28,3
10.103.1,29,2
10.103.1,30,1
10.103.1,32,2
10.103.1,34,2
10.103.1,36,2
10.103.1,37,1
10.103.1,41,2
10.103.1,42,1
10.103.1,43,2
10.103.1,44,2
10.103.2,0,1
10.103.2,1,3
10.103.2,3,1
10.103.2,4,3
10.103.2,5,2
10.103.2,6,4
10.103.2,7,1
10.103.2,9,1
10.103.2,13,2
10.103.2,14,1
10.103.2,17,2
10.103.2,18,2
10.103.2,19,1
10.103.2,20,1
10.103.2,21,2
10.103.2,22,1
10.103.2,24,2
10.103.2,25,3
10.103.2,26,4
10.103.2,27,2
10.103.2,28,1
10.103.2,29,1
10.103.2,30,2
10.103.2,31,2
10.103.2,32,1
10.103.2,33,2
10.103.2,34,1
10.103.2,38,2
10.103.2,39,1
10.103.2,40,1
10.103.2,41,3
10.103.2,42,1
10.103.2,43,1
10.103.3,0,4
10.103.3,2,2
10.103.3,3,1
10.103.3,4,1
10.103.3,5,1
10.103.3,10,2
10.103.3,12,1
10.103.3,13,1
10.103.3,15,1
10.103.3,18,1
10.103.3,19,1
10.103.3,21,1
10.103.3,22,2
10.103.3,23,2
10.103.3,24,1
10.103.3,25,3
10.103.3,26,1
10.103.3,28,1
10.103.3,29,1
10.103.3,30,4
10.103.3,32,3
10.103.3,34,1
10.103.3,35,5
10.103.3,36,1
10.103.3,38,1
10.103.3,40,2
10.103.3,42,1
10.103.3,43,1
10.103.3,44,1
10.103.4,0,1
10.103.4,2,1
10.103.4,4,1
10.103.4,5,2
10.103.4,6,1
10.103.4,7,1
10.103.4,8,1
10.103.4,9,3
10.103.4,10,1
10.103.4,14,1
10.103.4,17,2
10.103.4,18,1
10.103.4,20,1
10.103.4,21,1
10.103.4,23,1
10.103.4,24,1
10.103.4,25,1
10.103.4,26,1
10.103.4,27,1
10.103.4,28,1
10.103.4,29,2
10.103.4,30,1
10.103.4,37,1
10.103.4,38,3
10.103.4,39,3
10.103.4,42,2
10.103.4,43,1
10.103.4,44,1
10.103.5,0,1
10.103.5,1,1
10.103.5,3,1
10.103.5,6,1
10.103.5,7,1
10.103.5,8,1
10.103.5,9,1
10.103.5,10,1
10.103.5,11,1
10.103.5,14,3
10.103.5,19,1
10.103.5,20,3
10.103.5,21,3
10.103.5,24,1
10.103.5,25,3
10.103.5,34,1
10.103.5,38,3
10.103.5,39,2
10.103.5,40,1
10.103.5,42,1
10.103.5,43,2
10.103.5,44,1
10.103.6,0,2
10.103.6,1,3
10.103.6,2,2
10.103.6,3,4
10.103.6,4,2
10.103.6,7,1
10.103.6,10,1
10.103.6,12,1
10.103.6,14,1
10.103.6,15,1
10.103.6,19,1
10.103.6,20,2
10.103.6,22,2
10.103.6,23,1
10.103.6,24,3
10.103.6,26,1
10.103.6,27,1
10.103.6,28,2
10.103.6,30,1
10.103.6,33,1
10.103.6,34,2
10.103.6,36,3
10.103.6,37,3
10.103.6,39,2
10.103.6,40,4
10.103.6,41,1
10.103.6,42,1
10.103.6,43,2
10.103.6,44,1
10.103.7,1,1
10.103.7,2,2
10.103.7,4,1
10.103.7,5,1
10.103.7,6,3
10.103.7,7,1
10.103.7,9,5
10.103.7,10,1
10.103.7,11,4
10.103.7,12,2
10.103.7,13,1
10.103.7,14,1
10.103.7,16,1
10.103.7,22,1
10.103.7,24,1
10.103.7,25,2
10.103.7,27,2
10.103.7,28,1
10.103.7,30,2
10.103.7,31,1
10.103.7,33,3
10.103.7,37,3
10.103.7,38,1
10.103.7,41,1
10.103.7,42,1
10.103.7,43,2
10.103.8,0,4
10.103.8,1,4
10.103.8,2,2
10.103.8,3,1
10.103.8,4,1
10.103.8,5,1
10.103.8,6,2
10.103.8,10,1
10.103.8,12,1
10.103.8,13,6
10.103.8,14,1
10.103.8,15,1
10.103.8,16,1
10.103.8,17,1
10.103.8,19,1
10.103.8,20,1
10.103.8,26,2
10.103.8,27,1
10.103.8,28,1
10.103.8,30,4
10.103.8,31,1
10.103.8,32,1
10.103.8,34,3
10.103.8,35,1
10.103.8,36,1
10.103.8,38,2
10.103.8,43,1
10.103.8,44,2
10.104.0,0,2
10.104.0,1,2
10.104.0,2,2
10.104.0,3,3
10.104.0,4,1
10.104.0,5,2
10.104.0,6,5
10.104.0,7,2
10.104.0,8,2
10.104.0,9,1
10.104.0,10,3
10.104.0,12,2
10.104.0,13,2
10.104.0,15,3
10.104.0,17,2
10.104.0,18,3
10.104.0,19,1
10.104.0,22,1
10.104.0,25,1
10.104.0,26,2
10.104.0,27,1
10.104.0,28,1
10.104.0,29,1
10.104.0,30,1
10.104.0,31,2
10.104.0,32,1
10.104.0,33,1
10.104.0,38,2
10.104.0,39,2
10.104.0,40,4
10.104.0,41,2
10.104.0,42,1
10.104.0,44,2
10.105.0,2,3
10.105.0,3,2
10.105.0,5,1
10.105.0,6,3
10.105.0,7,1
10.105.0,8,2
10.105.0,9,3
10.105.0,11,2
10.105.0,12,2
10.105.0,13,1
10.105.0,15,1
10.105.0,16,1
10.105.0,17,1
10.105.0,18,1
10.105.0,20,2
10.105.0,21,2
10.105.0,22,2
10.105.0,24,3
10.105.0,25,2
10.105.0,27,2
10.105.0,28,1
10.105.0,29,5
10.105.0,30,3
10.105.0,31,2
10.105.0,34,2
10.105.0,35,2
10.105.0,36,1
10.105.0,37,1
10.105.0,39,1
10.105.0,40,1
10.105.0,42,3
10.105.0,44,3
10.105.1,0,1
10.105.1,1,2
10.105.1,2,3
10.105.1,3,1
10.105.1,4,1
10.105.1,5,1
10.105.1,6,2
10.105.1,8,1
10.105.1,9,3
10.105.1,10,2
10.105.1,11,2
10.105.1,12,3
10.105.1,13,4
10.105.1,15,2
10.105.1,16,1
10.105.1,17,1
10.105.1,18,1
10.105.1,19,1
10.105.1,20,1
10.105.1,21,1
10.105.1,22,1
10.105.1,24,1
10.105.1,25,5
10.105.1,27,1
10.105.1,28,1
10.105.1,29,3
10.105.1,31,3
10.105.1,35,1
10.105.1,36,1
10.105.1,37,1
10.105.1,38,1
10.105.1,39,3
10.105.1,40,1
10.105.1,42,1
10.105.1,43,3
10.105.1,44,1
10.105.2,1,5
10.105.2,3,3
10.105.2,4,1
10.105.2,5,2
10.105.2,7,2
10.105.2,8,2
10.105.2,9,2
10.105.2,12,1
10.105.2,13,1
10.105.2,14,2
10.105.2,15,1
10.105.2,17,1
10.105.2,20,1
10.105.2,22,3
10.105.2,23,1
10.105.2,24,2
10.105.2,25,2
10.105.2,26,2
10.105.2,27,3
10.105.2,28,1
10.105.2,29,1
10.105.2,32,1
10.105.2,34,1
10.105.2,35,1
10.105.2,38,1
10.105.2,39,1
10.105.2,40,1
10.105.2,41,2
10.105.2,42,1
10.105.2,43,1
10.105.3,0,1
10.105.3,2,4
10.105.3,3,1
10.105.3,4,1
10.105.3,5,1
10.105.3,6,3
10.105.3,7,2
10.105.3,8,1
10.105.3,11,2
10.105.3,12,1
10.105.3,13,3
10.105.3,14,1
10.105.3,15,3
10.105.3,16,2
10.105.3,17,2
10.105.3,18,3
10.105.3,21,1
10.105.3,22,1
10.105.3,23,1
10.105.3,24,1
10.105.3,25,2
10.105.3,26,1
10.105.3,28,1
10.105.3,29,1
10.105.3,30,1
10.105.3,32,1
10.105.3,35,3
10.105.3,36,3
10.105.3,38,1
10.105.3,39,1
10.105.3,40,2
10.105.3,41,1
10.105.3,42,2
10.105.3,43,1
10.105.3,44,2
10.105.4,0,1
10.105.4,1,1
10.105.4,2,1
10.105.4,9,2
10.105.4,10,1
10.105.4,12,1
10.105.4,13,1
10.105.4,14,1
10.105.4,15,1
10.105.4,16,3
10.105.4,18,2
10.105.4,19,1
10.105.4,21,2
10.105.4,22,1
10.105.4,24,3
10.105.4,27,2
10.105.4,28,1
10.105.4,30,3
10.105.4,31,1
10.105.4,32,1
10.105.4,33,1
10.105.4,34,1
10.105.4,36,1
10.105.4,37,1
10.105.4,39,5
10.105.4,40,1
10.105.4,42,1
10.105.4,44,1
10.105.5,0,5
10.105.5,1,2
10.105.5,2,2
10.105.5,3,2
10.105.5,4,1
10.105.5,5,4
10.105.5,6,4
10.105.5,7,2
10.105.5,8,1
10.105.5,9,4
10.105.5,12,4
10.105.5,13,3
10.105.5,14,2
10.105.5,16,6
10.105.5,17,2
10.105.5,18,2
10.105.5,19,2
10.105.5,20,1
10.105.5,21,1
10.105.5,22,2
10.105.5,24,1
10.105.5,25,2
10.105.5,26,3
10.105.5,27,3
10.105.5,28,3
10.105.5,30,3
10.105.5,31,3
10.105.5,32,1
10.105.5,33,4
10.105.5,35,1
10.105.5,37,1
10.105.5,38,1
10.105.5,40,3
10.105.5,41,1
10.105.5,42,1
10.105.5,43,1
10.105.5,44,1
10.105.6,0,1
10.105.6,4,3
10.105.6,5,1
10.105.6,6,1
10.105.6,7,2
10.105.6,8,1
10.105.6,9,1
10.105.6,10,3
10.105.6,12,1
10.105.6,13,1
10.105.6,16,1
10.105.6,19,1
10.105.6,20,1
10.105.6,21,1
10.105.6,22,1
10.105.6,23,4
10.105.6,24,1
10.105.6,25,1
10.105.6,26,1
10.105.6,27,1
10.105.6,29,1
10.105.6,30,1
10.105.6,33,2
10.105.6,34,1
10.105.6,37,2
10.105.6,39,2
10.105.6,40,2
10.105.6,41,2
10.105.6,43,1
10.105.7,3,1
10.105.7,4,2
10.105.7,5,2
10.105.7,6,1
10.105.7,8,1
10.105.7,13,2
10.105.7,14,2
10.105.7,15,3
10.105.7,16,1
10.105.7,17,1
10.105.7,18,3
10.105.7,19,1
10.105.7,20,1
10.105.7,21,1
10.105.7,23,1
10.105.7,24,4
10.105.7,25,1
10.105.7,27,1
10.105.7,28,1
10.105.7,29,4
10.105.7,30,2
10.105.7,31,1
10.105.7,33,3
10.105.7,34,2
10.105.7,35,3
10.105.7,36,1
10.105.7,38,1
10.105.7,39,1
10.105.7,40,2
10.105.7,42,2
10.105.7,43,1
10.105.7,44,2
10.105.8,0,2
10.105.8,1,1
10.105.8,2,1
10.105.8,5,2
10.105.8,6,1
10.105.8,7,1
10.105.8,8,1
10.105.8,9,2
10.105.8,10,4
10.105.8,11,2
10.105.8,12,1
10.105.8,13,1
10.105.8,14,1
10.105.8,15,1
10.105.8,17,1
10.105.8,20,1
10.105.8,22,1
10.105.8,24,1
10.105.8,27,2
10.105.8,29,1
10.105.8,30,1
10.105.8,31,2
10.105.8,32,1
10.105.8,33,1
10.105.8,34,1
10.105.8,36,1
10.105.8,37,3
10.105.8,38,3
10.105.8,39,2
10.105.8,42,1
10.105.8,43,1
10.105.8,44,1
10.105.9,1,1
10.105.9,2,2
10.105.9,5,1
10.105.9,6,1
10.105.9,7,3
10.105.9,8,2
10.105.9,9,2
10.105.9,10,2
10.105.9,11,2
10.105.9,12,3
10.105.9,13,1
10.105.9,14,1
10.105.9,16,1
10.105.9,17,2
10.105.9,19,1
10.105.9,23,3
10.105.9,25,1
10.105.9,27,2
10.105.9,32,2
10.105.9,33,1
10.105.9,34,2
10.105.9,35,3
10.105.9,37,1
10.105.9,38,2
10.105.9,39,1
10.105.9,41,1
10.105.9,42,1
10.105.9,44,1
10.106.0,0,1
10.106.0,1,1
10.106.0,3,1
10.106.0,4,2
10.106.0,5,1
10.106.0,6,1
10.106.0,7,1
10.106.0,8,1
10.106.0,11,2
10.106.0,12,4
10.106.0,14,2
10.106.0,16,1
10.106.0,17,1
10.106.0,18,1
10.106.0,19,1
10.106.0,22,1
10.106.0,24,1
10.106.0,25,1
10.106.0,26,2
10.106.0,28,2
10.106.0,29,1
10.106.0,30,1
10.106.0,33,1
10.106.0,37,2
10.106.0,38,3
10.106.0,39,1
10.106.0,40,1
10.107.0,0,2
10.107.0,1,2
10.107.0,3,2
10.107.0,5,2
10.107.0,6,2
10.107.0,7,1
10.107.0,9,1
10.107.0,10,2
10.107.0,11,2
10.107.0,12,1
10.107.0,13,2
10.107.0,15,2
10.107.0,16,3
10.107.0,17,1
10.107.0,19,2
10.107.0,21,1
10.107.0,22,1
10.107.0,27,1
10.107.0,28,1
10.107.0,30,2
10.107.0,31,1
10.107.0,32,1
10.107.0,33,1
10.107.0,34,2
10.107.0,35,1
10.107.0,36,5
10.107.0,38,2
10.107.0,39,2
10.107.0,40,1
10.107.0,41,1
10.107.0,42,1
10.107.0,44,1
10.107.1,0,2
10.107.1,1,1
10.107.1,5,2
10.107.1,6,1
10.107.1,9,1
10.107.1,10,1
10.107.1,11,1
10.107.1,13,2
10.107.1,16,1
10.107.1,18,3
10.107.1,19,2
10.107.1,23,2
10.107.1,26,2
10.107.1,27,1
10.107.1,30,1
10.107.1,31,2
10.107.1,32,2
10.107.1,33,1
10.107.1,34,1
10.107.1,35,2
10.107.1,36,1
10.107.1,37,1
10.107.1,39,1
10.107.1,40,1
10.107.1,42,1
10.107.1,43,1
10.107.1,44,1
10.107.2,1,1
10.107.2,2,1
10.107.2,3,2
10.107.2,4,2
10.107.2,5,1
10.107.2,6,1
10.107.2,8,1
10.107.2,10,4
10.107.2,11,2
10.107.2,13,1
10.107.2,14,2
10.107.2,15,1
10.107.2,18,1
10.107.2,20,1
10.107.2,21,2
10.107.2,24,1
10.107.2,25,1
10.107.2,26,3
10.107.2,28,1
10.107.2,29,1
10.107.2,30,1
10.107.2,31,2
10.107.2,32,1
10.107.2,33,1
10.107.2,34,2
10.107.2,35,2
10.107.2,36,2
10.107.2,38,1
10.107.2,39,3
10.107.2,42,1
10.107.2,44,1
10.108.0,1,1
10.108.0,5,2
10.108.0,8,1
10.108.0,9,4
10.108.0,13,1
10.108.0,14,1
10.108.0,15,1
10.108.0,16,2
10.108.0,18,1
10.108.0,20,2
10.108.0,21,2
10.108.0,23,1
10.108.0,26,2
10.108.0,27,2
10.108.0,29,1
10.108.0,30,1
10.108.0,32,1
10.108.0,33,1
10.108.0,34,2
10.108.0,38,1
10.108.0,39,2
10.108.0,40,3
10.108.0,41,1
10.108.0,43,1
10.108.1,0,2
10.108.1,1,2
10.108.1,2,1
10.108.1,3,3
10.108.1,4,2
10.108.1,5,1
10.108.1,6,1
10.108.1,7,4
10.108.1,8,1
10.108.1,9,2
10.108.1,12,1
10.108.1,13,2
10.108.1,14,1
10.108.1,15,1
10.108.1,16,1
10.108.1,17,1
10.108.1,18,1
10.108.1,22,1
10.108.1,24,1
10.108.1,25,1
10.108.1,26,2
10.108.1,28,1
10.108.1,30,2
10.108.1,31,2
10.108.1,33,1
10.108.1,34,1
10.108.1,35,2
10.108.1,37,1
10.108.1,38,2
10.108.1,40,1
10.108.1,42,1
10.108.1,44,1
10.108.2,1,1
10.108.2,2,1
10.108.2,3,1
10.108.2,5,1
10.108.2,6,3
10.108.2,7,2
10.108.2,8,3
10.108.2,10,1
10.108.2,11,1
10.108.2,12,2
10.108.2,13,1
10.108.2,14,1
10.108.2,15,1
10.108.2,16,2
10.108.2,17,1
10.108.2,21,2
10.108.2,22,2
10.108.2,23,1
10.108.2,24,1
10.108.2,25,2
10.108.2,26,1
10.108.2,28,1
10.108.2,29,2
10.108.2,30,2
10.108.2,31,2
10.108.2,33,2
10.108.2,34,2
10.108.2,35,2
10.108.2,36,1
10.108.2,37,2
10.108.2,38,1
10.108.2,39,2
10.108.2,40,2
10.108.2,41,1
10.108.2,43,1
10.109.0,0,3
10.109.0,1,1
10.109.0,2,2
10.109.0,4,2
10.109.0,5,1
10.109.0,6,1
10.109.0,7,1
10.109.0,10,2
10.109.0,12,1
10.109.0,15,1
10.109.0,20,1
10.109.0,23,2
10.109.0,24,3
10.109.0,28,2
10.109.0,31,3
10.109.0,32,2
10.109.0,33,2
10.109.0,35,1
10.109.0,36,2
10.109.0,37,1
10.109.0,38,2
10.109.0,39,1
10.109.0,40,1
10.109.0,41,1
10.109.0,43,3
10.109.0,44,2
10.109.1,0,2
10.109.1,2,1
10.109.1,3,1
10.109.1,4,1
10.109.1,5,1
10.109.1,6,1
10.109.1,7,1
10.109.1,8,3
10.109.1,12,2
10.109.1,13,1
10.109.1,14,4
10.109.1,15,2
10.109.1,16,2
10.109.1,20,2
10.109.1,21,1
10.109.1,23,1
10.109.1,24,1
10.109.1,25,1
10.109.1,26,1
10.109.1,27,3
10.109.1,28,1
10.109.1,29,2
10.109.1,34,1
10.109.1,36,3
10.109.1,37,2
10.109.1,38,2
10.109.1,39,1
10.109.1,40,1
10.109.1,42,1
10.109.1,43,3
10.109.1,44,2
10.109.2,0,1
10.109.2,1,2
10.109.2,2,2
10.109.2,3,2
10.109.2,6,2
10.109.2,10,1
10.109.2,12,1
10.109.2,14,3
10.109.2,15,1
10.109.2,16,1
10.109.2,18,1
10.109.2,19,2
10.109.2,21,2
10.109.2,22,1
10.109.2,23,1
10.109.2,24,3
10.109.2,28,3
10.109.2,29,1
10.109.2,30,1
10.109.2,31,2
10.109.2,32,3
10.109.2,33,3
10.109.2,34,1
10.109.2,35,1
10.109.2,36,1
10.109.2,37,1
10.109.2,39,1
10.109.2,40,1
10.109.2,41,1
10.109.2,42,1
10.109.2,44,3
10.109.3,1,1
10.109.3,3,1
10.109.3,4,2
10.109.3,6,1
10.109.3,9,2
10.109.3,10,1
10.109.3,11,2
10.109.3,13,2
10.109.3,14,1
10.109.3,15,1
10.109.3,16,2
10.109.3,17,1
10.109.3,18,1
10.109.3,19,1
10.109.3,20,1
10.109.3,22,2
10.109.3,23,3
10.109.3,24,2
10.109.3,25,1
10.109.3,26,2
10.109.3,27,2
10.109.3,28,1
10.109.3,29,2
10.109.3,30,3
10.109.3,31,3
10.109.3,32,1
10.109.3,33,1
10.109.3,34,2
10.109.3,36,1
10.109.3,38,2
10.109.3,39,1
10.109.3,40,1
10.109.3,41,1
10.109.3,42,1
10.109.3,43,1
10.109.3,44,2
10.109.4,0,3
10.109.4,1,1
10.109.4,2,3
10.109.4,3,2
10.109.4,4,2
10.109.4,6,2
10.109.4,7,2
10.109.4,10,2
10.109.4,11,3
10.109.4,13,2
10.109.4,14,2
10.109.4,15,1
10.109.4,16,1
10.109.4,17,3
10.109.4,18,2
10.109.4,19,1
10.109.4,20,2
10.109.4,21,1
10.109.4,22,2
10.109.4,24,1
10.109.4,26,1
10.109.4,27,2
